epoch,train_loss,valid_loss,accuracy,time
0,2.1453945636749268,2.5258889198303223,0.2272842973470688,01:23
1,2.0015177726745605,1.9131580591201782,0.3288368582725525,01:24
2,1.9401848316192627,7.48839807510376,0.09875286370515823,01:23
3,1.9717974662780762,1.900169014930725,0.3112751245498657,01:23
4,1.8783838748931885,2.4390063285827637,0.21404936909675598,01:24
5,1.7759240865707397,1.7279865741729736,0.389921098947525,01:23
6,1.7041436433792114,2.3591361045837402,0.2242300808429718,01:24
7,1.6584993600845337,1.5478136539459229,0.45405957102775574,01:24
8,1.562347650527954,3.602968454360962,0.17434461414813995,01:23
9,1.4706271886825562,1.3145631551742554,0.5301603674888611,01:24
10,1.406110167503357,1.7139379978179932,0.4054466784000397,01:23
11,1.303441047668457,1.1571370363235474,0.6026979088783264,01:23
12,1.2289350032806396,1.3311066627502441,0.5500127077102661,01:23
13,1.1701552867889404,0.9855955243110657,0.6597098708152771,01:23
14,1.0791919231414795,1.0399070978164673,0.6474930047988892,01:23
15,1.0072507858276367,0.9150426387786865,0.6833800077438354,01:23
16,0.96409010887146,0.9042519927024841,0.6940697431564331,01:23
17,0.9203763604164124,0.8361109495162964,0.711376965045929,01:23
18,0.9095330238342285,0.8348550796508789,0.7190124988555908,01:23
19,0.8975099325180054,0.8242880702018738,0.7154492139816284,01:23
