epoch,train_loss,valid_loss,accuracy,time
0,2.3788819313049316,2.59118390083313,0.11478747427463531,01:35
1,2.0655484199523926,1.918874979019165,0.30542123317718506,01:37
2,1.8619965314865112,2.0098342895507812,0.31000253558158875,01:37
3,1.757251262664795,1.6033952236175537,0.42326292395591736,01:37
4,1.6730505228042603,1.7227610349655151,0.37541359663009644,01:37
5,1.5764368772506714,1.3757755756378174,0.5179435014724731,01:37
6,1.4908559322357178,1.5959237813949585,0.43140748143196106,01:36
7,1.4088969230651855,1.2443468570709229,0.5665563941001892,01:34
8,1.3606520891189575,1.3688517808914185,0.5227793455123901,01:32
9,1.3090825080871582,1.1609214544296265,0.5981165766716003,01:31
10,1.2516977787017822,1.9644038677215576,0.43751591444015503,01:28
11,1.2028247117996216,1.0022575855255127,0.6546195149421692,01:27
12,1.1490942239761353,1.270700454711914,0.5734283328056335,01:26
13,1.096640706062317,0.9580238461494446,0.6724357604980469,01:26
14,1.041237235069275,1.2167696952819824,0.5976075530052185,01:26
15,1.0056285858154297,0.8804914951324463,0.6930516958236694,01:26
16,0.9575614929199219,1.1185247898101807,0.6355306506156921,01:26
17,0.9156500697135925,0.849632740020752,0.7131585478782654,01:25
18,0.8893663883209229,1.0010994672775269,0.6892338991165161,01:26
19,0.8546603918075562,0.8544013500213623,0.7129040360450745,01:26
