epoch,train_loss,valid_loss,accuracy,time
0,1.9813170433044434,2.0185728073120117,0.3206923007965088,01:31
1,1.9820990562438965,1.7916890382766724,0.3830491304397583,01:31
2,1.8874287605285645,5.078874588012695,0.20412318408489227,01:32
3,1.7658793926239014,1.5118621587753296,0.46551284193992615,01:32
4,1.6457473039627075,2.0946178436279297,0.33621788024902344,01:33
5,1.5420186519622803,1.3789843320846558,0.5202341675758362,01:32
6,1.37042236328125,1.576247215270996,0.4629676640033722,01:32
7,1.2695555686950684,1.0446088314056396,0.6436752080917358,01:32
8,1.1536335945129395,1.4410088062286377,0.5675744414329529,01:32
9,1.0347315073013306,0.8938650488853455,0.7098498344421387,01:32
10,0.9667559266090393,0.9740751385688782,0.6696360111236572,01:32
11,0.8684239983558655,0.8281858563423157,0.728938639163971,01:32
12,0.7639551162719727,0.9317384362220764,0.7001781463623047,01:32
13,0.7094916701316833,0.6965426206588745,0.7706795334815979,01:32
14,0.6545025110244751,0.7231009006500244,0.7630440592765808,01:32
15,0.5827712416648865,0.6126824617385864,0.8060575127601624,01:32
16,0.5232686400413513,0.6053326725959778,0.8098753094673157,01:32
17,0.4980834126472473,0.5960503816604614,0.8075846433639526,01:32
18,0.4791232645511627,0.5954884886741638,0.8126749992370605,01:32
19,0.4527724087238312,0.5962814688682556,0.8147110939025879,01:31
