epoch,train_loss,valid_loss,accuracy,<lambda>,<lambda>,time
0,2.01503849029541,2.074467658996582,0.2799694538116455,0.6021888256072998,0.4632222056388855,01:25
1,1.9329253435134888,1.9522849321365356,0.34461694955825806,0.6922881007194519,0.5479766130447388,01:27
2,1.8277539014816284,4.540872097015381,0.18681597709655762,0.4471875727176666,0.33596333861351013,01:26
3,1.6852959394454956,1.7325555086135864,0.43751591444015503,0.7566810846328735,0.6406210064888,01:26
4,1.4846383333206177,1.9560025930404663,0.3240010142326355,0.6492746472358704,0.5202341675758362,01:25
5,1.314298391342163,1.127950668334961,0.6032069325447083,0.8737592101097107,0.7984219789505005,01:25
6,1.1380974054336548,2.164912223815918,0.44438788294792175,0.7719521522521973,0.6452023386955261,01:26
7,0.9975144267082214,0.9504956007003784,0.6744718551635742,0.9037923216819763,0.8388903141021729,01:26
8,0.9049534797668457,1.1547311544418335,0.6365487575531006,0.8747773170471191,0.8068210482597351,01:26
9,0.7996189594268799,0.7627769708633423,0.740900993347168,0.9244082570075989,0.870450496673584,01:26
10,0.7105148434638977,0.9335584044456482,0.6922881007194519,0.9009926319122314,0.8439806699752808,01:25
11,0.6086925268173218,0.7034789323806763,0.7638075947761536,0.9391703009605408,0.8910664319992065,01:26
12,0.5213424563407898,0.8247159719467163,0.7411555051803589,0.9228811264038086,0.8701959848403931,01:26
13,0.4456104040145874,0.660691499710083,0.7877322435379028,0.9460422396659851,0.9040468335151672,01:27
14,0.38442009687423706,0.6537677645683289,0.789768397808075,0.946296751499176,0.9040468335151672,01:26
15,0.31216806173324585,0.6477254033088684,0.8042758703231812,0.9501145482063293,0.9134640097618103,01:26
16,0.264723539352417,0.6467700600624084,0.8126749992370605,0.9549503922462463,0.9180452823638916,01:26
17,0.23523877561092377,0.6266838312149048,0.8164927363395691,0.9552049040794373,0.9185543656349182,01:26
18,0.21038620173931122,0.621861457824707,0.8213285803794861,0.9552049040794373,0.9218630790710449,01:27
19,0.20232415199279785,0.6197001934051514,0.821583092212677,0.9562229514122009,0.9205904603004456,01:27
