epoch,train_loss,valid_loss,accuracy,time
0,1.981040358543396,1.9807132482528687,0.31865614652633667,01:03
1,1.9235780239105225,1.7587634325027466,0.37744972109794617,01:02
2,1.8065029382705688,3.2769393920898438,0.19190633296966553,01:02
3,1.661264181137085,1.6870472431182861,0.42148128151893616,01:02
4,1.4604077339172363,2.459689140319824,0.32476457953453064,01:02
5,1.2922289371490479,1.1605125665664673,0.5993891358375549,01:03
6,1.1292994022369385,1.7181971073150635,0.48994654417037964,01:02
7,1.036578893661499,0.9086715579032898,0.6869432330131531,01:02
8,0.9195420145988464,1.5469908714294434,0.5179435014724731,01:02
9,0.8394866585731506,0.8212286233901978,0.7258844375610352,01:03
10,0.7291167378425598,0.9124760031700134,0.7050139904022217,01:02
11,0.620588481426239,0.7344768643379211,0.7620259523391724,01:02
12,0.5386558175086975,0.7773405313491821,0.7604988813400269,01:02
13,0.46065306663513184,0.6956073045730591,0.7826418876647949,01:02
14,0.4024040699005127,0.6771647334098816,0.7828963994979858,01:02
15,0.3293248414993286,0.6907702088356018,0.7984219789505005,01:02
16,0.29267439246177673,0.6628103256225586,0.7963858246803284,01:02
17,0.2499195784330368,0.6635606288909912,0.8075846433639526,01:02
18,0.21676786243915558,0.663863480091095,0.8070756196975708,01:02
19,0.20538516342639923,0.6651560664176941,0.8091117143630981,01:03
