epoch,train_loss,valid_loss,accuracy,time
0,2.0155303478240967,2.1425535678863525,0.2850598096847534,01:02
1,1.9448415040969849,1.7821550369262695,0.3797403872013092,01:02
2,1.8936645984649658,1.9328919649124146,0.32654619216918945,01:02
3,1.7739670276641846,1.7894582748413086,0.39068466424942017,01:02
4,1.59541916847229,3.4928081035614014,0.24357342720031738,01:02
5,1.4480868577957153,1.307884931564331,0.5573937296867371,01:02
6,1.3127734661102295,1.7717432975769043,0.4319165050983429,01:02
7,1.1968892812728882,1.1520017385482788,0.5973530411720276,01:02
8,1.129563331604004,1.5448521375656128,0.4716212749481201,01:02
9,1.0351202487945557,1.0390681028366089,0.6513107419013977,01:02
10,0.9279308319091797,1.147396445274353,0.6299312710762024,01:02
11,0.8330262303352356,0.7970162034034729,0.7358106374740601,01:02
12,0.724502444267273,0.9026743769645691,0.6986510753631592,01:02
13,0.632248044013977,0.7108919024467468,0.7620259523391724,01:02
14,0.545060396194458,0.7568023800849915,0.7475184798240662,01:02
15,0.44623491168022156,0.662458598613739,0.7979129552841187,01:02
16,0.3635585308074951,0.6234092712402344,0.8060575127601624,01:02
17,0.2984980046749115,0.6208356618881226,0.8027487993240356,01:02
18,0.27143463492393494,0.6094558238983154,0.8086026906967163,01:01
19,0.25558844208717346,0.6114524602890015,0.8093662261962891,01:02
