epoch,train_loss,valid_loss,accuracy,time
0,1.9649103879928589,2.031578540802002,0.30007636547088623,01:12
1,1.9055818319320679,1.8288322687149048,0.392466276884079,01:13
2,1.7586283683776855,2.2854480743408203,0.3176380693912506,01:14
3,1.617845058441162,1.5972309112548828,0.46424025297164917,01:16
4,1.4076049327850342,1.6371307373046875,0.40697377920150757,01:16
5,1.2238481044769287,1.1008294820785522,0.6215322017669678,01:16
6,1.109086513519287,1.9653371572494507,0.4611860513687134,01:16
7,0.9719298481941223,0.8769879937171936,0.7011962532997131,01:16
8,0.8525410890579224,1.0989731550216675,0.6248409152030945,01:15
9,0.7522222399711609,0.8167461156845093,0.7284296154975891,01:15
10,0.6551144123077393,0.9949347376823425,0.703995943069458,01:15
11,0.5708503127098083,0.7284460663795471,0.7716976404190063,01:15
12,0.47086232900619507,0.8205990195274353,0.7510817050933838,01:15
13,0.3987913727760315,0.6702739000320435,0.7884957790374756,01:15
14,0.30704954266548157,0.7676193714141846,0.7767879962921143,01:15
15,0.2355736941099167,0.6937381625175476,0.8037668466567993,01:15
16,0.1943444311618805,0.6965824961662292,0.8108933568000793,01:14
17,0.16259481012821198,0.6751177906990051,0.81674724817276,01:14
18,0.15270516276359558,0.6732841730117798,0.8200560212135315,01:15
19,0.12992113828659058,0.6749901175498962,0.8210740685462952,01:14
