epoch,train_loss,valid_loss,accuracy,top_k_accuracy,time
0,2.0045199394226074,2.1311185359954834,0.28556883335113525,0.7597352862358093,01:26
1,1.942745566368103,2.0208940505981445,0.3390175700187683,0.8307457566261292,01:23
2,1.8042064905166626,4.619322776794434,0.23593789339065552,0.6762534976005554,01:23
3,1.6685227155685425,1.9505304098129272,0.3667599856853485,0.8903028964996338,01:23
4,1.4459506273269653,2.3482825756073,0.32323747873306274,0.8340544700622559,01:22
5,1.2539459466934204,1.1121169328689575,0.618478000164032,0.9541867971420288,01:22
6,1.1145268678665161,1.3930773735046387,0.5245609283447266,0.9396793246269226,01:22
7,1.0201866626739502,0.9348453283309937,0.6821073889732361,0.958513617515564,01:22
8,0.8915721774101257,1.230535626411438,0.6090608239173889,0.9417154788970947,01:22
9,0.7905136346817017,0.8478383421897888,0.7281751036643982,0.9651311039924622,01:22
10,0.6829977631568909,0.8845970630645752,0.7207940816879272,0.9653856158256531,01:23
11,0.6100567579269409,0.7224162817001343,0.7632985711097717,0.9714940190315247,01:25
12,0.5185073614120483,0.7909381985664368,0.7490455508232117,0.9720030426979065,01:21
13,0.4564039409160614,0.653417706489563,0.7958768010139465,0.9788750410079956,01:22
14,0.3680434226989746,0.6697907447814941,0.7979129552841187,0.9755663275718689,01:21
15,0.3118686378002167,0.6526383757591248,0.8027487993240356,0.9770933985710144,01:22
16,0.2408689707517624,0.634117841720581,0.8172562718391418,0.9796385765075684,01:22
17,0.23518988490104675,0.6244356036186218,0.821583092212677,0.9801476001739502,01:21
18,0.20485703647136688,0.6219013929367065,0.8210740685462952,0.9798930883407593,01:22
19,0.20079614222049713,0.619978129863739,0.8220921158790588,0.9809111952781677,01:21
