epoch,train_loss,valid_loss,accuracy,top_5_accuracy,time
0,1.9628169536590576,1.902146577835083,0.3222194015979767,0.8220921158790588,02:52
1,1.813308835029602,1.726264238357544,0.3914481997489929,0.858233630657196,02:50
2,1.716901183128357,1.7476353645324707,0.4204632341861725,0.8638330101966858,02:49
3,1.6639564037322998,1.618074655532837,0.43929752707481384,0.8813947439193726,02:49
4,1.6232844591140747,1.9992878437042236,0.36243319511413574,0.836090624332428,02:50
5,1.5976890325546265,1.5953748226165771,0.4685670733451843,0.8956477642059326,02:50
6,1.5346801280975342,1.8737717866897583,0.4041740894317627,0.8696869611740112,02:50
7,1.4857323169708252,1.3553972244262695,0.5286332368850708,0.9205904603004456,02:50
8,1.421790599822998,1.6445204019546509,0.4662764072418213,0.8778315186500549,02:50
9,1.3548959493637085,1.1266249418258667,0.6192415356636047,0.946296751499176,02:50
10,1.304126501083374,1.5828992128372192,0.474420964717865,0.8803766965866089,02:50
11,1.2182698249816895,1.1248900890350342,0.6151692271232605,0.9485874176025391,02:50
12,1.1427468061447144,1.7391741275787354,0.44616949558258057,0.8668872714042664,02:51
13,1.1135661602020264,1.1820924282073975,0.6006617546081543,0.9457877278327942,02:51
14,1.0400147438049316,2.8859353065490723,0.3799948990345001,0.8717230558395386,02:50
15,1.0127604007720947,0.9338222742080688,0.6963604092597961,0.9587681293487549,02:51
16,0.9564700126647949,1.233397126197815,0.5836090445518494,0.9353525042533875,02:50
17,0.9602376818656921,0.8109831809997559,0.7327564358711243,0.9636039733886719,02:50
18,0.8981348872184753,1.2766438722610474,0.5935352444648743,0.94884192943573,02:50
19,0.8509088754653931,0.774273157119751,0.7393738627433777,0.9658946394920349,02:50
20,0.8080318570137024,1.141222596168518,0.6294222474098206,0.9409518837928772,02:51
21,0.7760204672813416,0.7985661625862122,0.7510817050933838,0.9717485308647156,02:51
22,0.7518318295478821,1.2576661109924316,0.5886994004249573,0.9093917012214661,02:50
23,0.7337986826896667,0.658786952495575,0.7864596843719482,0.9735301733016968,02:50
24,0.7003436088562012,0.8456060290336609,0.7302112579345703,0.9592771530151367,02:51
25,0.6624395847320557,0.63036048412323,0.7996945977210999,0.9781115055084229,02:51
26,0.6418965458869934,0.9768791198730469,0.6719266772270203,0.9506235718727112,02:50
27,0.6087390780448914,0.7054130434989929,0.7765334844589233,0.9694578647613525,02:50
28,0.6078775525093079,1.076375961303711,0.6614914536476135,0.9468057751655579,02:51
29,0.5695698857307434,0.7666283845901489,0.7795876860618591,0.9730211496353149,02:50
30,0.5605314373970032,0.8949782848358154,0.740646481513977,0.9651311039924622,02:51
31,0.526515543460846,0.6514957547187805,0.8040213584899902,0.9781115055084229,02:51
32,0.496791273355484,0.929728627204895,0.7080681920051575,0.9524052143096924,02:50
33,0.49142080545425415,0.7375652194023132,0.7760244607925415,0.9737846851348877,02:50
34,0.4884924292564392,0.909253716468811,0.7635530829429626,0.9692033529281616,02:50
35,0.45962026715278625,0.7435064911842346,0.7862051129341125,0.970475971698761,02:50
36,0.44162970781326294,1.053381085395813,0.7541359066963196,0.963349461555481,02:51
37,0.4300999641418457,0.735540509223938,0.7976584434509277,0.9760753512382507,02:51
38,0.4066941440105438,0.8371139764785767,0.7579537034034729,0.9643675088882446,02:51
39,0.38754403591156006,0.7536250948905945,0.8002036213874817,0.9770933985710144,02:51
40,0.37689387798309326,0.8473507165908813,0.7722066640853882,0.965640127658844,02:50
41,0.3462270498275757,0.6799518465995789,0.8172562718391418,0.9763298630714417,02:51
42,0.33804166316986084,0.644188642501831,0.821583092212677,0.9765843749046326,02:51
43,0.3428964614868164,0.6846545934677124,0.8180198669433594,0.9753117561340332,02:50
44,0.3159864842891693,0.7046135663986206,0.7991855144500732,0.9758208394050598,02:50
45,0.29291412234306335,0.7344197630882263,0.8251463770866394,0.9770933985710144,02:51
46,0.29783937335014343,0.6661624908447266,0.8198014497756958,0.9714940190315247,02:50
47,0.31181368231773376,0.6960806250572205,0.8251463770866394,0.9758208394050598,02:50
48,0.277068167924881,0.7549111247062683,0.8208195567131042,0.9770933985710144,02:50
49,0.27915868163108826,0.6870728731155396,0.8271824717521667,0.9791295528411865,02:51
50,0.2657526731491089,0.6925327777862549,0.811911404132843,0.9760753512382507,02:50
51,0.2353794425725937,0.6484574675559998,0.8276914954185486,0.9783660173416138,02:50
52,0.26607629656791687,0.9000344276428223,0.8103843331336975,0.9735301733016968,02:50
53,0.23876789212226868,0.7403604984283447,0.81674724817276,0.9773479104042053,02:51
54,0.22130325436592102,0.7103845477104187,0.8180198669433594,0.9773479104042053,02:50
55,0.21359838545322418,0.7128890752792358,0.8337999582290649,0.9781115055084229,02:50
56,0.20500725507736206,0.7150949835777283,0.8330364227294922,0.9778569340705872,02:49
57,0.19370485842227936,0.6996279954910278,0.8330364227294922,0.9755663275718689,02:49
58,0.20296765863895416,0.6460054516792297,0.8416900038719177,0.9786205291748047,02:47
59,0.1929130256175995,0.697629451751709,0.8355816006660461,0.9786205291748047,02:47
60,0.182076096534729,0.7615925669670105,0.8284550905227661,0.9773479104042053,02:47
61,0.17216290533542633,0.6915550231933594,0.8411809802055359,0.9768388867378235,02:46
62,0.17565225064754486,0.6938186883926392,0.8376176953315735,0.9786205291748047,02:47
63,0.16318278014659882,0.703771710395813,0.8373631834983826,0.9778569340705872,02:46
64,0.1686648577451706,0.6971113085746765,0.8371086716651917,0.9765843749046326,02:46
65,0.1535511314868927,0.6638111472129822,0.8452532291412354,0.9809111952781677,02:46
