epoch,train_loss,valid_loss,accuracy,top_3_accuracy,top_2_accuracy,time
0,1.9715218544006348,1.9278218746185303,0.31356579065322876,0.6444388031959534,0.511326014995575,01:33
1,1.8578343391418457,1.716209888458252,0.3929753005504608,0.7220667004585266,0.5940442681312561,01:33
2,1.8295291662216187,2.2142763137817383,0.31636548042297363,0.6793076992034912,0.5306693911552429,01:32
3,1.7765278816223145,1.7132339477539062,0.4143548011779785,0.7434461712837219,0.6164418458938599,01:32
4,1.7077522277832031,2.2272775173187256,0.2883685529232025,0.5800458192825317,0.4515143930912018,01:33
5,1.6048579216003418,1.4900920391082764,0.4578773081302643,0.7991855144500732,0.6808348298072815,01:34
6,1.4944013357162476,3.1940133571624756,0.23033851385116577,0.552812397480011,0.4138457477092743,01:33
7,1.404097557067871,1.6249325275421143,0.44107916951179504,0.7653346657752991,0.645711362361908,01:32
8,1.3024015426635742,2.1289923191070557,0.3245100677013397,0.6826164126396179,0.5446678400039673,01:33
9,1.1883348226547241,1.014450192451477,0.6536014080047607,0.8836854100227356,0.8157292008399963,01:33
10,1.1047261953353882,1.3402938842773438,0.5383049249649048,0.8226011991500854,0.7213031053543091,01:33
11,1.0784176588058472,0.984183669090271,0.6744718551635742,0.9030287861824036,0.8358361124992371,01:32
12,0.9826199412345886,1.6396163702011108,0.48536524176597595,0.8198014497756958,0.7009417414665222,01:33
13,0.9122381210327148,0.7433538436889648,0.7533723711967468,0.9272079467773438,0.8791040778160095,01:32
14,0.8806803226470947,1.5198630094528198,0.5685924887657166,0.8134385347366333,0.7218121886253357,01:32
15,0.8309425711631775,0.801715612411499,0.731229305267334,0.9228811264038086,0.8709595203399658,01:32
16,0.7657509446144104,0.9485366940498352,0.7070501446723938,0.9027742147445679,0.8421990275382996,01:32
17,0.7272939682006836,0.6625412702560425,0.7765334844589233,0.9366251230239868,0.8959022760391235,01:32
18,0.6722780466079712,0.8175879716873169,0.7299567461013794,0.9188088774681091,0.8615424036979675,01:33
19,0.6462630033493042,0.6225951910018921,0.7948587536811829,0.9473148584365845,0.9050648808479309,01:31
20,0.6027392148971558,0.7517348527908325,0.7673708200454712,0.9317892789840698,0.8867396116256714,01:32
21,0.5764581561088562,0.667044997215271,0.8024942874908447,0.9419699907302856,0.9083736538887024,01:32
22,0.5522671341896057,0.8248463273048401,0.7482820153236389,0.9254263043403625,0.8763043880462646,01:32
23,0.5067231059074402,0.608108401298523,0.8131840229034424,0.9496055245399475,0.9147365689277649,01:33
24,0.46207642555236816,0.7449430227279663,0.7821328639984131,0.9419699907302856,0.8979384303092957,01:32
25,0.43505874276161194,0.6233789324760437,0.8136930465698242,0.9485874176025391,0.9155001044273376,01:33
26,0.4240555763244629,0.6395578980445862,0.8149656653404236,0.9485874176025391,0.9162636995315552,01:34
27,0.3826144337654114,0.5987973809242249,0.8228557109832764,0.9521507024765015,0.9205904603004456,01:32
28,0.37491878867149353,0.5823549628257751,0.8228557109832764,0.9544413089752197,0.919317901134491,01:32
29,0.35180118680000305,0.5955592393875122,0.8325273394584656,0.9531687498092651,0.9210995435714722,01:33
30,0.3168400824069977,0.6258266568183899,0.8218376040458679,0.9483329057693481,0.916772723197937,01:32
31,0.3007528483867645,0.5750037431716919,0.8345634937286377,0.9569864869117737,0.9272079467773438,01:32
32,0.2828226685523987,0.6056643724441528,0.8368541598320007,0.9587681293487549,0.9279714822769165,01:32
33,0.25838467478752136,0.6063132286071777,0.8355816006660461,0.953677773475647,0.9236447215080261,01:32
34,0.23922108113765717,0.5979436039924622,0.8399083614349365,0.9577500820159912,0.9256808161735535,01:32
35,0.24131065607070923,0.5831995010375977,0.8404173851013184,0.9577500820159912,0.9297531247138977,01:32
36,0.2376929670572281,0.5819663405418396,0.8371086716651917,0.9597861766815186,0.9294986128807068,01:32
37,0.24267682433128357,0.5845710635185242,0.8393993377685547,0.9600407481193542,0.9307711720466614,01:32
38,0.23936901986598969,0.5836156010627747,0.8373631834983826,0.9590226411819458,0.9305166602134705,01:32
39,0.23020394146442413,0.5735949873924255,0.8401628732681274,0.9602952599525452,0.9302621483802795,01:33
