epoch,train_loss,valid_loss,accuracy,top_3_accuracy,top_2_accuracy,time
0,1.6955797672271729,1.594533085823059,0.4907006323337555,0.7699363231658936,0.6746496558189392,01:40
1,1.6527971029281616,1.2657947540283203,0.5701910853385925,0.8481528759002686,0.7523567080497742,01:40
2,1.5847138166427612,3.1759748458862305,0.27235668897628784,0.6145222783088684,0.4963057339191437,01:40
3,1.4302502870559692,1.0738608837127686,0.6522293090820312,0.8738853335380554,0.8010191321372986,01:40
4,1.3076541423797607,1.4842439889907837,0.559490442276001,0.7895541191101074,0.7014012932777405,01:40
5,1.194069266319275,0.9294125437736511,0.7087898254394531,0.8912101984024048,0.8287898302078247,01:40
6,1.076863408088684,1.499457597732544,0.5605095624923706,0.8214012980461121,0.7070063948631287,01:40
7,0.9871063232421875,1.1044032573699951,0.6570700407028198,0.8991082906723022,0.831337571144104,01:40
8,0.9060790538787842,1.2634861469268799,0.5875159502029419,0.8005095720291138,0.7266241908073425,01:40
9,0.8468618392944336,0.6816638708114624,0.7829299569129944,0.9248407483100891,0.8799999952316284,01:41
10,0.7801147103309631,0.7283231019973755,0.7696815133094788,0.9271337389945984,0.8761783242225647,01:42
11,0.740796685218811,0.4873867630958557,0.8354139924049377,0.9577069878578186,0.9228025674819946,01:42
12,0.6776271462440491,0.4897976517677307,0.8443312048912048,0.9577069878578186,0.9200000166893005,01:42
13,0.6176966428756714,0.43109968304634094,0.8611465096473694,0.9617834687232971,0.934267520904541,01:42
14,0.5758199691772461,0.4254700541496277,0.8603821396827698,0.9633120894432068,0.9317197203636169,01:42
15,0.5314416885375977,0.38792747259140015,0.8743948936462402,0.9694267511367798,0.9401273727416992,01:42
16,0.48683419823646545,0.38821619749069214,0.8756687641143799,0.9676433205604553,0.9411464929580688,01:43
17,0.47406938672065735,0.36459171772003174,0.8817834258079529,0.9666242003440857,0.9439490437507629,01:41
18,0.4727569818496704,0.3666214048862457,0.8794904351234436,0.9694267511367798,0.9434394836425781,01:42
19,0.4493388831615448,0.3577379882335663,0.881019115447998,0.9694267511367798,0.9454777240753174,01:42
