epoch,train_loss,valid_loss,accuracy,time
0,2.8213753700256348,2.2749953269958496,0.19037923216819763,01:12
1,2.462290048599243,3.5536391735076904,0.20717740058898926,01:12
2,2.474738597869873,111.55027770996094,0.10435225069522858,01:12
3,2.4341928958892822,6.472248554229736,0.19877831637859344,01:12
4,2.5741095542907715,2.5127451419830322,0.12547722458839417,01:12
5,2.560685157775879,4.178158760070801,0.09391702711582184,01:12
6,2.439427137374878,2.355851173400879,0.1768897920846939,01:12
7,2.2964091300964355,2.173306703567505,0.1850343644618988,01:12
8,2.2429027557373047,2.104341506958008,0.21964876353740692,01:12
9,2.186131238937378,2.222196102142334,0.22779333591461182,01:12
10,2.1469900608062744,2.1308863162994385,0.2537541389465332,01:12
11,2.0740556716918945,2.0452537536621094,0.2504453957080841,01:12
12,2.0071005821228027,1.954345941543579,0.2916772663593292,01:12
13,1.9305758476257324,1.9030495882034302,0.3161109685897827,01:12
14,1.8990181684494019,1.841620922088623,0.34258079528808594,01:12
15,1.8230390548706055,1.795973777770996,0.36090609431266785,01:12
16,1.7930959463119507,1.8007538318634033,0.3695596754550934,01:12
17,1.7434848546981812,1.7805126905441284,0.37210485339164734,01:12
18,1.7220323085784912,1.7454715967178345,0.3797403872013092,01:12
19,1.6997621059417725,1.744276762008667,0.38075846433639526,01:12
