epoch,train_loss,valid_loss,accuracy,time
0,2.041306734085083,2.2495555877685547,0.2552812397480011,01:05
1,2.006479501724243,1.9458222389221191,0.3537795841693878,01:03
2,1.926297664642334,2.0730648040771484,0.2926953434944153,01:03
3,1.8075917959213257,1.6811484098434448,0.4830745756626129,01:03
4,1.6440666913986206,1.9868413209915161,0.3929753005504608,01:04
5,1.5130656957626343,1.4712978601455688,0.5724102854728699,01:03
6,1.4055531024932861,1.8385521173477173,0.45227792859077454,01:03
7,1.3043409585952759,1.2327489852905273,0.6838890314102173,01:03
8,1.224931240081787,1.4381431341171265,0.6123695373535156,01:04
9,1.145357370376587,1.124570608139038,0.7347925901412964,01:03
10,1.0542892217636108,1.1744511127471924,0.7197760343551636,01:04
11,0.9993343949317932,1.065451741218567,0.7599897980690002,01:03
12,0.9439338445663452,1.0987731218338013,0.752863347530365,01:03
13,0.872825562953949,1.021092414855957,0.782387375831604,01:03
14,0.8151229023933411,1.044628620147705,0.7739883065223694,01:03
15,0.7639787793159485,0.9933898448944092,0.8004581332206726,01:03
16,0.7281892895698547,0.9926832318305969,0.8045304417610168,01:03
17,0.6996639966964722,0.9779507517814636,0.8096207976341248,01:03
18,0.6877661943435669,0.9739006161689758,0.8083481788635254,01:03
19,0.6799004077911377,0.972526490688324,0.8111478686332703,01:03
