epoch,train_loss,valid_loss,accuracy,time
0,2.0209906101226807,2.8691694736480713,0.1901247203350067,01:02
1,1.9218215942382812,1.9347738027572632,0.32781878113746643,01:03
2,1.7863764762878418,2.878957748413086,0.2524815499782562,01:02
3,1.6618489027023315,1.4916629791259766,0.484092652797699,01:02
4,1.4971157312393188,1.6734765768051147,0.4156273901462555,01:02
5,1.3339470624923706,1.3668626546859741,0.5024179220199585,01:02
6,1.2471122741699219,1.318303108215332,0.5439043045043945,01:02
7,1.0864495038986206,1.015700340270996,0.6533468961715698,01:02
8,1.007569670677185,1.3957058191299438,0.5492491722106934,01:01
9,0.8849048614501953,0.883309543132782,0.7098498344421387,01:02
10,0.8132029175758362,0.9372982978820801,0.6833800077438354,01:02
11,0.6863695979118347,0.7416768670082092,0.7576991319656372,01:02
12,0.6038017868995667,0.8370545506477356,0.7291931509971619,01:02
13,0.5233509540557861,0.7115219235420227,0.7673708200454712,01:02
14,0.4272260367870331,0.7341644763946533,0.7719521522521973,01:02
15,0.3653307259082794,0.6384667754173279,0.8019852638244629,01:02
16,0.3104790151119232,0.6425728797912598,0.8042758703231812,01:02
17,0.24230320751667023,0.6228390336036682,0.8129295110702515,01:02
18,0.22520026564598083,0.6321796774864197,0.8108933568000793,01:02
19,0.2301950454711914,0.6440654993057251,0.8116568922996521,01:02
