epoch,train_loss,valid_loss,accuracy,top_3_accuracy,top_2_accuracy,time
0,2.0820677280426025,1.9685416221618652,0.2898956537246704,0.6156783103942871,0.4713667631149292,01:26
1,1.9845848083496094,1.8415039777755737,0.3644693195819855,0.6765080094337463,0.5540850162506104,01:26
2,1.939305067062378,1.9945688247680664,0.31152966618537903,0.6492746472358704,0.5174344778060913,01:26
3,1.9134174585342407,1.7088255882263184,0.39526596665382385,0.7197760343551636,0.6009162664413452,01:26
4,1.8885695934295654,1.8784891366958618,0.3522524833679199,0.6948332786560059,0.5568847060203552,01:25
5,1.8371117115020752,1.6747634410858154,0.40977346897125244,0.7498090863227844,0.6314584016799927,01:25
6,1.8062057495117188,1.9385795593261719,0.3318910598754883,0.6726902723312378,0.532960057258606,01:26
7,1.7468594312667847,1.4529283046722412,0.4858742654323578,0.7958768010139465,0.694324254989624,01:25
8,1.681016445159912,1.6444683074951172,0.43471622467041016,0.7302112579345703,0.6225502490997314,01:26
9,1.6239176988601685,1.4721043109893799,0.5215067267417908,0.82387375831604,0.7294477224349976,01:25
10,1.5638188123703003,1.764914631843567,0.3894120752811432,0.7416645288467407,0.611351490020752,01:25
11,1.506022572517395,1.317744255065918,0.5553575754165649,0.8442351818084717,0.7500636577606201,01:26
12,1.4202769994735718,1.604419469833374,0.45380502939224243,0.7643166184425354,0.6632730960845947,01:26
13,1.3642815351486206,1.22929048538208,0.5940442681312561,0.8587426543235779,0.7821328639984131,01:26
14,1.3099905252456665,1.6378599405288696,0.47543904185295105,0.7729701995849609,0.6620005369186401,01:26
15,1.2722392082214355,1.0203801393508911,0.6670908331871033,0.8740137219429016,0.8103843331336975,01:26
16,1.2450332641601562,2.2300662994384766,0.34945279359817505,0.6813438534736633,0.5108169913291931,01:25
17,1.2235435247421265,0.85193932056427,0.7129040360450745,0.9055739641189575,0.8485620021820068,01:26
18,1.173630952835083,1.556369662284851,0.4489692151546478,0.7587172389030457,0.6683634519577026,01:25
19,1.1326557397842407,0.9403481483459473,0.6864342093467712,0.8959022760391235,0.8378722071647644,01:24
20,1.0824203491210938,1.353550672531128,0.5886994004249573,0.8546704053878784,0.7696614861488342,01:23
21,1.066466212272644,0.8195759654045105,0.7253754138946533,0.9170272350311279,0.8612878322601318,01:23
22,1.0077948570251465,1.3829938173294067,0.5907355546951294,0.8516162037849426,0.7668617963790894,01:23
23,0.9860814809799194,0.7673121094703674,0.7477729916572571,0.9246627688407898,0.8808857202529907,01:23
24,0.9945725798606873,0.909247100353241,0.7045049667358398,0.9050648808479309,0.8500890731811523,01:23
25,0.9512163996696472,0.669845461845398,0.7879867553710938,0.9315347671508789,0.8882667422294617,01:23
26,0.9281061291694641,1.267417550086975,0.5940442681312561,0.8661236763000488,0.7706795334815979,01:23
27,0.9174533486366272,0.6246256232261658,0.792059063911438,0.9437515735626221,0.907101035118103,01:23
28,0.907731294631958,0.7589534521102905,0.7673708200454712,0.9251717925071716,0.8780860304832458,01:23
29,0.8634240627288818,0.6178250312805176,0.7974039316177368,0.9417154788970947,0.9035378098487854,01:23
30,0.8585037589073181,0.8809458613395691,0.7179943919181824,0.9081191420555115,0.8480529189109802,01:24
31,0.8243874907493591,0.6323124170303345,0.8024942874908447,0.9432425498962402,0.9030287861824036,01:25
32,0.802506685256958,0.905271053314209,0.7136675715446472,0.9040468335151672,0.8488165140151978,01:26
33,0.8052881360054016,0.5676183700561523,0.8170017600059509,0.9524052143096924,0.9165182113647461,01:25
34,0.7770029902458191,0.9054039716720581,0.7197760343551636,0.928989589214325,0.8653601408004761,01:25
35,0.7562985420227051,0.5535032153129578,0.8243827819824219,0.9498600363731384,0.9182997941970825,01:26
36,0.7343828678131104,0.6194395422935486,0.8055484890937805,0.9445151686668396,0.907101035118103,01:25
37,0.7144031524658203,0.5551318526268005,0.8299821615219116,0.9508780837059021,0.9200814366340637,01:23
38,0.6837703585624695,0.6902951598167419,0.784932553768158,0.9348434805870056,0.8946296572685242,01:24
39,0.7020912170410156,0.6056062579154968,0.8210740685462952,0.9455332159996033,0.9132094383239746,01:25
40,0.6586146354675293,0.5965351462364197,0.8091117143630981,0.9452787041664124,0.9111733436584473,01:24
41,0.6374057531356812,0.5137298107147217,0.8391448259353638,0.9592771530151367,0.9297531247138977,01:25
42,0.6639446020126343,0.5600209832191467,0.8233647346496582,0.9483329057693481,0.9208449721336365,01:26
43,0.6257401704788208,0.5694313049316406,0.8266734480857849,0.9531687498092651,0.9221175909042358,01:26
44,0.6022785902023315,0.5758359432220459,0.8261644244194031,0.951132595539093,0.9218630790710449,01:25
45,0.5846406817436218,0.5344781875610352,0.8404173851013184,0.953423261642456,0.9205904603004456,01:25
46,0.568816065788269,0.5984382629394531,0.8223466277122498,0.94884192943573,0.9177907705307007,01:25
