epoch,train_loss,valid_loss,accuracy,top_5_accuracy,time
0,2.033170700073242,2.5634398460388184,0.21023161709308624,0.7294477224349976,02:21
1,1.9768157005310059,1.99704909324646,0.31687453389167786,0.8284550905227661,02:18
2,1.8923283815383911,2.5973894596099854,0.20921353995800018,0.743191659450531,02:18
3,1.7993183135986328,1.7394148111343384,0.3827946186065674,0.8612878322601318,02:19
4,1.6964484453201294,2.2463228702545166,0.2965131103992462,0.8121659159660339,02:19
5,1.5149180889129639,1.4605611562728882,0.5171799659729004,0.9172817468643188,02:17
6,1.3932125568389893,1.941778540611267,0.3858488202095032,0.8595062494277954,02:18
7,1.2845065593719482,1.1193901300430298,0.616187334060669,0.9480783939361572,02:18
8,1.1742876768112183,1.523908019065857,0.49529141187667847,0.9017561674118042,02:18
9,1.0528863668441772,0.873313307762146,0.7093408107757568,0.9592771530151367,02:18
10,0.9869846105575562,1.0769782066345215,0.6357851624488831,0.9447696805000305,02:18
11,0.9156404733657837,0.7974068522453308,0.723848283290863,0.968185305595398,02:17
12,0.8276686668395996,0.7884200811386108,0.7266479730606079,0.9686943292617798,02:17
13,0.7496502995491028,0.6875395774841309,0.7716976404190063,0.9745482206344604,02:17
14,0.7003515362739563,0.7689675688743591,0.7291931509971619,0.9702214598655701,02:17
15,0.6623135805130005,0.6447303295135498,0.789768397808075,0.9755663275718689,02:17
16,0.603425920009613,0.620387852191925,0.7963858246803284,0.9783660173416138,02:17
17,0.5767476558685303,0.609345555305481,0.8055484890937805,0.9796385765075684,02:17
18,0.5547329187393188,0.5985255837440491,0.8101298213005066,0.9788750410079956,02:16
19,0.5410004258155823,0.5950321555137634,0.8108933568000793,0.9796385765075684,02:17
