epoch,train_loss,valid_loss,accuracy,top_5_accuracy,time
0,1.9859217405319214,2.083014726638794,0.29244083166122437,0.8068210482597351,02:43
1,1.9752341508865356,1.858434796333313,0.3535250723361969,0.8467803597450256,02:42
2,1.8931753635406494,2.836777687072754,0.2438279390335083,0.7185034155845642,02:41
3,1.7747933864593506,1.6133016347885132,0.4301348924636841,0.8839399218559265,02:42
4,1.6341594457626343,2.1524507999420166,0.2374650090932846,0.731229305267334,02:42
5,1.5084683895111084,1.2268695831298828,0.574446439743042,0.9394248127937317,02:42
6,1.3600172996520996,1.783422589302063,0.40468311309814453,0.8490710258483887,02:41
7,1.2198857069015503,1.1932419538497925,0.5973530411720276,0.9317892789840698,02:41
8,1.1341195106506348,1.781253457069397,0.4006108343601227,0.8223466277122498,02:42
9,1.0263822078704834,0.8823046684265137,0.6917790770530701,0.9653856158256531,02:42
10,0.9435579776763916,1.2095247507095337,0.5978620648384094,0.9333163499832153,02:42
11,0.8790093660354614,0.7725082039833069,0.733519971370697,0.9745482206344604,02:42
12,0.770483136177063,0.8464623689651489,0.7228302359580994,0.9669126868247986,02:41
13,0.7085873484611511,0.6811555027961731,0.7818783521652222,0.9748027324676514,02:41
14,0.6292926073074341,0.6499194502830505,0.7938406467437744,0.9763298630714417,02:41
15,0.5745154619216919,0.6081183552742004,0.8027487993240356,0.9783660173416138,02:41
16,0.5315394401550293,0.5855219960212708,0.8162382245063782,0.9804021120071411,02:41
17,0.49932751059532166,0.5779170989990234,0.8170017600059509,0.9791295528411865,02:40
18,0.46750107407569885,0.5632332563400269,0.82387375831604,0.9788750410079956,02:42
19,0.46996554732322693,0.5643534660339355,0.8246372938156128,0.9804021120071411,02:42
