epoch,train_loss,valid_loss,accuracy,top_3_accuracy,top_2_accuracy,time
0,1.95572829246521,1.8722474575042725,0.33799949288368225,0.6586917638778687,0.5362687706947327,01:24
1,1.8478126525878906,1.9119861125946045,0.3547976613044739,0.6940697431564331,0.5675744414329529,01:24
2,1.7825627326965332,2.2128677368164062,0.33927208185195923,0.657673716545105,0.5197251439094543,01:24
3,1.7492756843566895,1.614193320274353,0.43929752707481384,0.740900993347168,0.6416391134262085,01:24
4,1.6695562601089478,1.7872787714004517,0.4008653461933136,0.7195215225219727,0.6026979088783264,01:23
5,1.5969860553741455,1.5541207790374756,0.45558667182922363,0.7643166184425354,0.6604734063148499,01:23
6,1.498148798942566,2.4216573238372803,0.33774498105049133,0.662255048751831,0.5372868180274963,01:23
7,1.3976891040802002,1.429383397102356,0.5543395280838013,0.8121659159660339,0.7192670106887817,01:24
8,1.3102586269378662,1.7074326276779175,0.41486382484436035,0.6948332786560059,0.5856451988220215,01:24
9,1.2063641548156738,1.1793724298477173,0.5881903767585754,0.8561974763870239,0.7739883065223694,01:24
10,1.1212679147720337,1.5213558673858643,0.4874013662338257,0.7767879962921143,0.6752354502677917,01:24
11,1.0569140911102295,0.9203267097473145,0.6917790770530701,0.9012471437454224,0.8427080512046814,01:24
12,0.9973003268241882,1.0536373853683472,0.652837872505188,0.8844489455223083,0.8063120245933533,01:24
13,0.938559889793396,0.8394397497177124,0.7118859887123108,0.9221175909042358,0.8628149628639221,01:23
14,0.8930984139442444,0.9638176560401917,0.6681089401245117,0.8969203233718872,0.8348180055618286,01:23
15,0.8524507880210876,0.7997725009918213,0.7284296154975891,0.9208449721336365,0.868159830570221,01:24
16,0.8075222373008728,1.1535565853118896,0.6406210064888,0.9030287861824036,0.8363451361656189,01:23
17,0.7638571858406067,0.7696983218193054,0.740900993347168,0.9226266145706177,0.8722321391105652,01:23
18,0.6990492939949036,0.9664722084999084,0.6828709840774536,0.8992109894752502,0.8343089818954468,01:24
19,0.676170289516449,0.6368217468261719,0.7946042418479919,0.9452787041664124,0.9030287861824036,01:24
20,0.6359015107154846,0.9181597828865051,0.6861796975135803,0.9139730334281921,0.8493255376815796,01:23
21,0.5859379172325134,0.6618784070014954,0.7869687080383301,0.9427335262298584,0.9007381200790405,01:24
22,0.5696120262145996,0.7349317073822021,0.7630440592765808,0.9246627688407898,0.8747773170471191,01:23
23,0.5144222378730774,0.6230353116989136,0.8007126450538635,0.9424790143966675,0.9076100587844849,01:23
24,0.47902438044548035,0.6933525204658508,0.7884957790374756,0.9368796348571777,0.8953932523727417,01:24
25,0.45803388953208923,0.6229578256607056,0.8187834024429321,0.9460422396659851,0.9086281657218933,01:24
26,0.4131756126880646,0.6431156396865845,0.8131840229034424,0.94884192943573,0.9068465232849121,01:24
27,0.40415310859680176,0.597954273223877,0.8182743787765503,0.951132595539093,0.9177907705307007,01:24
28,0.3614386320114136,0.6077433228492737,0.8164927363395691,0.9524052143096924,0.9182997941970825,01:24
29,0.3238653540611267,0.5774617195129395,0.8327818512916565,0.9539322853088379,0.9274624586105347,01:23
30,0.31091415882110596,0.597145676612854,0.8315092921257019,0.9554594159126282,0.9233901500701904,01:23
31,0.29210686683654785,0.6130994558334351,0.8302366733551025,0.9529142379760742,0.9213540554046631,01:23
32,0.2891598641872406,0.6140519976615906,0.8363451361656189,0.9531687498092651,0.9218630790710449,01:24
33,0.2588385343551636,0.5820906758308411,0.8406718969345093,0.9516416192054749,0.9246627688407898,01:23
34,0.2532585561275482,0.5918530225753784,0.8427080512046814,0.9544413089752197,0.9277169704437256,01:24
35,0.24963781237602234,0.5869127511978149,0.8447442054748535,0.9552049040794373,0.9292441010475159,01:23
36,0.2441064417362213,0.5876920819282532,0.8477984070777893,0.9564774632453918,0.9292441010475159,01:24
37,0.23939138650894165,0.5893823504447937,0.8449987173080444,0.9562229514122009,0.9287350177764893,01:23
38,0.2338612675666809,0.5877944827079773,0.8460168242454529,0.9569864869117737,0.9297531247138977,01:24
39,0.2329968363046646,0.5780519843101501,0.8511071801185608,0.9557139277458191,0.9302621483802795,01:24
