epoch,train_loss,valid_loss,accuracy,time
0,0.19239500164985657,0.5575754046440125,0.855942964553833,01:24
1,0.214697003364563,0.6322537064552307,0.8401628732681274,01:24
2,0.2835332155227661,0.8877116441726685,0.7696614861488342,01:24
3,0.3661862015724182,0.6878003478050232,0.8164927363395691,01:24
4,0.41399237513542175,1.1828314065933228,0.6958513855934143,01:25
5,0.4297477602958679,0.69880610704422,0.8086026906967163,01:25
6,0.404824823141098,0.7025383114814758,0.7887502908706665,01:25
7,0.37461045384407043,0.6785832047462463,0.8114023804664612,01:26
8,0.3676702082157135,0.818956196308136,0.7694069743156433,01:25
9,0.3478204607963562,0.6881706714630127,0.8185288906097412,01:26
10,0.30335232615470886,0.8163384199142456,0.7986764907836914,01:25
11,0.2993464469909668,0.6479451060295105,0.8236192464828491,01:26
12,0.2659338414669037,0.6329805254936218,0.8332909345626831,01:25
13,0.22829298675060272,0.6249766945838928,0.8401628732681274,01:26
14,0.18986158072948456,0.6188661456108093,0.838381290435791,01:25
15,0.20751340687274933,0.600366473197937,0.8508526086807251,01:25
16,0.16539976000785828,0.5876034498214722,0.8457622528076172,01:26
17,0.1800081431865692,0.5945774912834167,0.8503435850143433,01:26
18,0.17093031108379364,0.5861271619796753,0.8495800495147705,01:25
19,0.16428452730178833,0.5878844261169434,0.8503435850143433,01:25
