epoch,train_loss,valid_loss,accuracy,time
0,2.009153127670288,2.204493522644043,0.2573173940181732,00:41
1,1.9045376777648926,2.146156072616577,0.32145583629608154,00:41
2,1.8197466135025024,3.884823799133301,0.17892593145370483,00:42
3,1.6728885173797607,1.609656810760498,0.44744208455085754,00:41
4,1.4827800989151,3.0065834522247314,0.2669890522956848,00:42
5,1.2899311780929565,1.2904237508773804,0.5787732005119324,00:42
6,1.167840600013733,1.4100925922393799,0.5179435014724731,00:42
7,1.0489892959594727,1.023088812828064,0.6434206962585449,00:42
8,0.9133537411689758,1.4432140588760376,0.5596843957901001,00:42
9,0.8442170023918152,0.868382453918457,0.7045049667358398,00:42
10,0.735180139541626,0.9876989126205444,0.6874522566795349,00:42
11,0.6345326900482178,0.7191463708877563,0.7607533931732178,00:42
12,0.5730865597724915,0.80784672498703,0.733519971370697,00:42
13,0.4652709364891052,0.6847800612449646,0.7813693284988403,00:42
14,0.3812417984008789,0.72868812084198,0.7755153775215149,00:42
15,0.34664836525917053,0.6851152777671814,0.7935861349105835,00:42
16,0.2839316725730896,0.6754513382911682,0.7984219789505005,00:42
17,0.23957626521587372,0.6707638502120972,0.8007126450538635,00:42
18,0.2215586006641388,0.6555609703063965,0.8032578229904175,00:42
19,0.22020478546619415,0.6629971861839294,0.8027487993240356,00:42
