epoch,train_loss,valid_loss,accuracy,time
0,2.0327401161193848,2.233474016189575,0.2522270381450653,01:23
1,2.0108394622802734,2.006240129470825,0.3326546251773834,01:24
2,1.921098232269287,2.144726276397705,0.2766607403755188,01:24
3,1.8145517110824585,1.7354226112365723,0.3797403872013092,01:24
4,1.6836018562316895,2.141876459121704,0.2618986964225769,01:24
5,1.5784300565719604,1.3946112394332886,0.511071503162384,01:24
6,1.4099434614181519,2.168367862701416,0.2570628523826599,01:24
7,1.2998408079147339,1.1247857809066772,0.6210231781005859,01:24
8,1.2127022743225098,2.4792373180389404,0.34436243772506714,01:24
9,1.1086609363555908,0.9386652112007141,0.6907610297203064,01:24
10,1.0152190923690796,0.9823934435844421,0.662255048751831,01:24
11,0.9157801270484924,0.7817595601081848,0.7233392596244812,01:24
12,0.8560676574707031,0.8496652841567993,0.7205395698547363,01:24
13,0.7867751121520996,0.6882505416870117,0.7729701995849609,01:24
14,0.7237125635147095,0.6969791650772095,0.7658437490463257,01:24
15,0.6565713286399841,0.6374527215957642,0.7928225994110107,01:24
16,0.6170530915260315,0.6000281572341919,0.8017306923866272,01:25
17,0.5953696966171265,0.6189588904380798,0.8050394654273987,01:26
18,0.5869696736335754,0.6002092957496643,0.8086026906967163,01:25
19,0.5534837245941162,0.5927648544311523,0.8052939772605896,01:25
