epoch,train_loss,valid_loss,accuracy,top_k_accuracy,time
0,2.0731632709503174,2.0679128170013428,0.2601170837879181,0.7971494197845459,01:26
1,2.002135992050171,1.7858121395111084,0.3731229305267334,0.8477984070777893,01:26
2,2.0134778022766113,2.041332960128784,0.32807329297065735,0.8116568922996521,01:26
3,1.9663066864013672,1.7449007034301758,0.3749045431613922,0.8620514273643494,01:26
4,1.8562935590744019,2.496694564819336,0.28226011991500854,0.7403919696807861,01:26
5,1.8238260746002197,1.5092146396636963,0.4586408734321594,0.8994655013084412,01:26
6,1.7246341705322266,2.394360303878784,0.3456350266933441,0.789513885974884,01:26
7,1.66550874710083,1.4356356859207153,0.4922372102737427,0.9200814366340637,01:26
8,1.5791046619415283,1.618800401687622,0.4336981475353241,0.8880122303962708,01:26
9,1.498094916343689,1.1809550523757935,0.599134624004364,0.9350979924201965,01:26
10,1.4148412942886353,1.9488924741744995,0.34461694955825806,0.858488142490387,01:26
11,1.3614219427108765,1.0335571765899658,0.6403664946556091,0.9572409987449646,01:26
12,1.2839151620864868,1.1116254329681396,0.6322219371795654,0.9432425498962402,01:26
13,1.2249680757522583,0.9363897442817688,0.6729447841644287,0.9613133072853088,01:27
14,1.1624619960784912,1.416494607925415,0.5123441219329834,0.9083736538887024,01:26
15,1.112741231918335,0.9689550995826721,0.6782896518707275,0.958513617515564,01:27
16,1.0941828489303589,1.3699266910552979,0.5876813530921936,0.9412063956260681,01:27
17,1.0271638631820679,0.7511817812919617,0.7500636577606201,0.9674217104911804,01:26
18,0.9908901453018188,1.1609842777252197,0.6510562300682068,0.9605497717857361,01:26
19,0.957122266292572,0.6657606959342957,0.7711886167526245,0.9737846851348877,01:27
20,0.9122150540351868,0.6828758716583252,0.7696614861488342,0.9742937088012695,01:27
21,0.8873730301856995,0.6341843008995056,0.7918045520782471,0.9768388867378235,01:25
22,0.8530327677726746,1.0316420793533325,0.6731992959976196,0.9490964412689209,01:26
23,0.8148460388183594,0.5791327357292175,0.8080936670303345,0.9758208394050598,01:27
24,0.772831380367279,0.7223981618881226,0.7821328639984131,0.9727665781974792,01:26
25,0.7385542988777161,0.5820455551147461,0.8114023804664612,0.9760753512382507,01:27
26,0.7202360033988953,0.5561991930007935,0.8259099125862122,0.9796385765075684,01:25
27,0.7117578983306885,0.53098064661026,0.8271824717521667,0.9778569340705872,01:25
28,0.6633852124214172,0.530010461807251,0.8353270292282104,0.9798930883407593,01:26
29,0.6488664150238037,0.5033942461013794,0.840926468372345,0.9814202189445496,01:26
30,0.6405673027038574,0.4799439311027527,0.8442351818084717,0.9821837544441223,01:26
31,0.5842990875244141,0.5062294602394104,0.8452532291412354,0.9816747307777405,01:27
32,0.5672508478164673,0.4939021170139313,0.8513616919517517,0.9814202189445496,01:26
33,0.5555437803268433,0.47471916675567627,0.858233630657196,0.9821837544441223,01:26
34,0.5295066237449646,0.47665101289749146,0.8579791188240051,0.9816747307777405,01:27
35,0.540068507194519,0.47578421235084534,0.8561974763870239,0.9819292426109314,01:27
36,0.522273063659668,0.474483847618103,0.8605242967605591,0.9816747307777405,01:26
37,0.5185484886169434,0.4648021161556244,0.863323986530304,0.9829472899436951,01:27
38,0.5055627226829529,0.46303683519363403,0.8625604510307312,0.9821837544441223,01:27
39,0.5024848580360413,0.4672878384590149,0.8625604510307312,0.9824382662773132,01:26
