epoch,train_loss,valid_loss,accuracy,time
0,0.48207277059555054,0.6640840768814087,0.7940952181816101,01:26
1,0.6265786290168762,1.11216402053833,0.6864342093467712,01:26
2,0.8327344655990601,1.1976337432861328,0.6149147152900696,01:26
3,0.9465422630310059,0.8376030325889587,0.7159582376480103,01:26
4,0.9713979959487915,1.6215369701385498,0.49681854248046875,01:26
5,0.9368730783462524,0.9092164635658264,0.6905065178871155,01:26
6,0.8793424367904663,1.0987958908081055,0.6401119828224182,01:26
7,0.8614223003387451,0.8344435691833496,0.7192670106887817,01:26
8,0.7719069719314575,1.271376371383667,0.5523033738136292,01:25
9,0.712481677532196,0.7028089165687561,0.7714431285858154,01:26
10,0.6598473191261292,0.8908352255821228,0.7195215225219727,01:26
11,0.5771941542625427,0.6295894980430603,0.7984219789505005,01:26
12,0.5455986261367798,0.60904860496521,0.8070756196975708,01:25
13,0.4933810830116272,0.5696596503257751,0.8164927363395691,01:25
14,0.4547531008720398,0.5914620161056519,0.8131840229034424,01:25
15,0.3990560472011566,0.5460580587387085,0.828709602355957,01:26
16,0.3591237962245941,0.5443977117538452,0.8322728276252747,01:25
17,0.31992170214653015,0.5254826545715332,0.8396538496017456,01:26
18,0.3242228627204895,0.5134044885635376,0.8424535393714905,01:25
19,0.3335254192352295,0.5128225684165955,0.8444896936416626,01:25
